syllable,p_stressed,p_long
leug'n,0.6664732434971082,0.6664737478159027
bäumt',0.6666570800356576,0.6666570800356576
dam,0.1468140893043885,0.7136532677237598
bracht',0.9164117945092933,0.9164117945092933
ders,0.02451450758663948,0.24012798774664262
würd,0.6426937390192257,0.6426937390192257
nons,0.07143229692109293,0.608522820469051
kalb,0.4806452853743312,0.776732257385476
buck,0.6666666664402555,0.6666666664415603
glüh,0.7999991704906282,0.7999991704906282
taub',0.6655076829062069,0.6655076882379264
glücks,0.3333333333333333,0.33849679216904316
wuch,0.8888152446242771,0.8888152833314084
gleicht,0.7939025637899085,0.8943272993554097
reißt,0.874992913474442,0.874992913474442
wirrt,0.874996496784858,0.874996496784858
krönt,0.7496377158599798,0.7496377158599798
hält,0.7776677711150142,0.9332015025426523
feuch,0.749999634796009,0.7499996347960125
pheus,0.3333333333333333,0.6622597363505015
stammst,0.5999988316648611,0.7499985395810739
knüp,0.6666664878023084,0.6666664878023084
gehrt,0.8868010446875961,0.9086420394969597
kö,0.9909581371291792,0.9909597830070993
has,0.7703461833826332,0.7703881551287806
schirrt',0.7498880406345376,0.7498880418626146
groll,0.7999447484577694,0.8999433537383664
gernd,0.25,0.5
mehr,0.9209321663677231,0.9875301063605679
prang,0.7499982016895108,0.7499999959060608
schäumt,0.6663769654830953,0.6665556789588658
traur,0.9230330151497329,0.923033114415307
kurz,0.6340742465251316,0.8970588533959523
flüs,0.7499999999999999,0.7499999999999999
zor,0.9615370543780642,0.9615370641476519
dun,0.956179720645117,0.9561797220964403
fuhr,0.6498762111409849,0.8810418890922066
laas,0.6664792729022506,0.6664792729022506
sprin,0.9285707687871356,0.9285707706672657
kan,0.8749176390561357,0.8749176391524325
weilt,0.8316256667452141,0.8316256667452141
kas,0.6938980279150802,0.7778038644660619
küh,0.9411324026276495,0.9411331938571771
vin,0.3333333333333333,0.5
gönnst,0.7499963969165662,0.7499963969165664
ren,0.09311496243083199,0.16704864521215407
ziehst,0.6666599116734049,0.6666599116734049
vlie,0.7500000000000001,0.7500000000000001
kro,0.14881264887067283,0.35986721914543374
dio,0.8690557825387311,0.8690574581820568
lier,0.07152720931221107,0.9259019047469815
zähl',0.6665306818567038,0.6665306818567038
heus,0.25000000000000006,0.6666663486839509
haupts,0.8749522087665668,0.8749522087665668
nip,0.8318360872408858,0.8343206798971345
mäh,0.9696967882854676,0.9696967886822719
schat,0.9743587251588872,0.9743587251627387
auch,0.3813274426785818,0.6746088955888011
läch,0.7499999999974958,0.7499999999974958
flammt,0.7272016133949327,0.8888019720251786
hüf,0.9166643974617078,0.916664397490751
pram,0.6666664832302941,0.6666665569014055
klüf,0.6666666666666666,0.6666666666666666
weihn,0.6159163888826216,0.6159163888826216
rigs,0.2500003577139991,0.2500003577139991
pur,0.4998635951666234,0.8000300066132754
nervst,0.6665885991550508,0.6665885991550508
freun,0.9902910180283585,0.990291134628896
ia,0.5689733535742204,0.756421730433043
schmau,0.8998275199891143,0.8998276127172097
rü,0.9729728819043715,0.9729728837653611
as,0.035514825414771786,0.3735276081289374
kte,0.7499999999274993,0.7499999999274993
käm',0.6666597916681823,0.6666597916681823
